                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.1984,                 4.4823,                 4.3943,                0.00076,                0.13015,                 0.0009,                0.00012,                 4.6512,                 4.1132,                 4.1604,             0.00013336,             0.00013336,             0.00013336
                      2,                 3.8107,                 3.9878,                 4.0899,                0.00068,                0.11944,                0.00055,                  8e-05,                 4.6609,                 4.1271,                  4.165,             0.00028245,             0.00028245,             0.00028245
                      3,                 3.4593,                  3.655,                 3.8264,                0.00065,                0.09357,                0.00047,                  7e-05,                 4.6819,                 4.0164,                 4.1829,             0.00043056,             0.00043056,             0.00043056
                      4,                 2.9167,                 3.3904,                 3.6189,                0.00068,                 0.0462,                0.00054,                  7e-05,                 4.7916,                 4.0951,                 4.2792,             0.00057767,             0.00057767,             0.00057767
                      5,                 2.8021,                 3.1063,                 3.4171,                0.00077,                0.04305,                0.00046,                 0.0001,                 4.8012,                 4.2677,                 4.3461,              0.0007238,              0.0007238,              0.0007238
                      6,                 2.6137,                 3.0021,                 3.2469,                0.00155,                0.09556,                0.00092,                0.00014,                 4.8878,                 4.4297,                 4.4653,             0.00086893,             0.00086893,             0.00086893
                      7,                 2.6642,                 2.9166,                 3.1114,                0.00216,                0.25475,                0.00194,                0.00044,                 5.0399,                 4.3054,                 4.9039,              0.0010131,              0.0010131,              0.0010131
                      8,                 2.6026,                 2.8831,                 3.0538,                0.00291,                 0.2267,                0.00248,                0.00067,                 4.8719,                 4.3433,                 5.0162,              0.0011562,              0.0011562,              0.0011562
                      9,                 2.4666,                  2.755,                 2.9194,                0.01535,                0.22888,                0.01053,                0.00353,                 3.2358,                    inf,                 4.5055,              0.0012984,              0.0012984,              0.0012984
                     10,                  2.569,                 2.7185,                 3.0054,                0.03249,                0.41817,                 0.0249,                0.00949,                    nan,                    nan,                    nan,              0.0014396,              0.0014396,              0.0014396
                     11,                 2.4957,                 2.7819,                 2.9126,                0.04003,                0.06902,                0.00487,                0.00183,                    nan,                    nan,                    nan,              0.0015797,              0.0015797,              0.0015797
                     12,                 2.4777,                 2.8527,                 2.9208,                 0.5003,                0.01095,                0.00016,                  2e-05,                    nan,                    nan,                    nan,              0.0016065,              0.0016065,              0.0016065
                     13,                 2.3491,                 2.7342,                 2.8166,                0.00452,                0.06877,                0.00151,                0.00053,                 3.6301,                 20.011,                  4.076,              0.0016065,              0.0016065,              0.0016065
                     14,                 2.3292,                 2.6322,                 2.7763,                0.02844,                0.03476,                0.00305,                0.00101,                    nan,                    nan,                    nan,               0.001601,               0.001601,               0.001601
                     15,                 2.2959,                 2.5918,                 2.7346,                0.00175,                0.21337,                0.00117,                0.00046,                 3.4634,                    inf,                 48.501,              0.0015955,              0.0015955,              0.0015955
                     16,                 2.2573,                 2.5314,                 2.7244,                0.00683,                 0.2803,                0.00642,                0.00277,                 2.5982,                    inf,                 11.876,                0.00159,                0.00159,                0.00159
                     17,                 2.2471,                 2.4389,                 2.7038,                0.03917,                0.37395,                0.02355,                0.00972,                 2.6149,                 27.691,                 5.3695,              0.0015845,              0.0015845,              0.0015845
                     18,                 2.2233,                 2.3457,                 2.6434,                0.08155,                 0.2303,                0.06192,                0.01667,                 2.6768,                  3.252,                 3.3815,               0.001579,               0.001579,               0.001579
                     19,                 2.2256,                 2.3335,                 2.6473,                0.55867,                0.13295,                0.06855,                0.01953,                 2.5982,                 4.3758,                 3.6992,              0.0015735,              0.0015735,              0.0015735
                     20,                 2.2572,                 2.3336,                 2.6961,                0.81605,                0.06934,                0.12755,                0.06389,                 3.1158,                 3.5958,                 3.3186,               0.001568,               0.001568,               0.001568
                     21,                 2.0833,                 2.2548,                 2.5591,                 0.1183,                0.05765,                0.06119,                0.01994,                 2.9226,                 3.2349,                 2.9644,              0.0015625,              0.0015625,              0.0015625
                     22,                 1.9842,                   2.22,                 2.5053,                0.00398,                0.03285,                0.00213,                0.00084,                 3.6301,                 5.3535,                 3.7161,               0.001557,               0.001557,               0.001557
                     23,                 2.0019,                 2.1397,                 2.5171,                0.89971,                0.08729,                0.14214,                0.04766,                 3.2686,                 3.7347,                 3.1402,              0.0015515,              0.0015515,              0.0015515
